cliente_id,nombre,genero,edad,region,fecha_registro
1,"Allison Hill",M,23,Arequipa,2024-04-22
2,"Noah Rhodes",M,60,Chiclayo,2025-03-04
3,"Angie Henderson",F,31,Chiclayo,2024-09-03
4,"Daniel Wagner",M,59,Cusco,2023-10-31
5,"Cristian Santos",M,58,Chiclayo,2023-06-18
6,"Connie Lawrence",M,56,"Lima Metropolitana",2024-08-19
7,"Abigail Shaffer",M,19,"Lima Metropolitana",2024-06-04
8,"Gina Moore",M,21,"Lima Metropolitana",2024-02-04
9,"Gabrielle Davis",F,68,"Lima Metropolitana",2023-08-30
10,"Ryan Munoz",M,39,Chiclayo,2024-01-22
11,"Monica Herrera",M,33,Cusco,2025-02-24
12,"Jamie Arnold",M,26,Arequipa,2024-01-30
13,"Lisa Hensley",M,68,Chiclayo,2024-01-20
14,"Michele Williams",M,54,Trujillo,2023-08-31
15,"Dylan Miller",M,31,Chiclayo,2024-03-20
16,"Brian Ramirez",M,22,"Lima Metropolitana",2023-05-13
17,"Holly Wood",F,66,Trujillo,2023-10-30
18,"Derek Zuniga",M,53,Chiclayo,2024-03-15
19,"Lisa Jackson",F,31,Cusco,2024-04-04
20,"Carla Gray",F,55,Cusco,2023-10-30
21,"Margaret Hawkins DDS",M,31,Trujillo,2023-10-01
22,"Patty Perez",M,70,Arequipa,2025-01-18
23,"Ethan Adams",F,32,Trujillo,2023-11-03
24,"Tommy Walter",F,39,Cusco,2024-06-20
25,"Matthew Foster",F,67,Trujillo,2023-05-26
26,"Judy Baker",M,27,"Lima Metropolitana",2023-08-04
27,"Justin Baker",M,68,"Lima Metropolitana",2024-11-13
28,"Stephanie Ross",F,56,Arequipa,2024-09-30
29,"Zachary Hicks",M,18,Trujillo,2024-09-08
30,"Anthony Rodriguez",M,35,Trujillo,2023-06-23
31,"Rebecca Henderson",F,27,Trujillo,2023-06-14
32,"James Ferrell",M,26,Trujillo,2024-09-08
33,"Tricia Valencia",F,52,Arequipa,2024-01-01
34,"Nathan Maldonado",F,34,Cusco,2024-12-26
